603108,57.68,医药生物
603122,45.58,医药生物
603127,243.38,医药生物
603139,39.7,医药生物
603168,18.22,医药生物
603205,8.72,医药生物
603207,12.25,医药生物
603222,38.17,医药生物
603229,66.59,医药生物
603233,181.31,医药生物
603235,97.27,医药生物
603301,235.17,医药生物
603309,33.01,医药生物
603351,33.7,医药生物
603367,58.72,医药生物
603368,60.26,医药生物
603387,39.56,医药生物
603439,56.5,医药生物
603456,116.87,医药生物
603520,45.42,医药生物
603538,81.84,医药生物
603567,42.65,医药生物
603590,45.88,医药生物
603658,169.14,医药生物
603669,39.96,医药生物
603676,36.77,医药生物
603707,115.36,医药生物
603716,34.79,医药生物
603718,18.56,医药生物
603811,35.77,医药生物
603858,158.08,医药生物
603880,21.76,医药生物
603882,109.33,医药生物
603883,86.36,医药生物
603896,26.86,医药生物
603939,226.84,医药生物
603976,40.79,医药生物
603987,30.75,医药生物
603998,40.48,医药生物
605116,77.22,医药生物
605177,19.06,医药生物
605199,22.05,医药生物
605266,23.72,医药生物
605369,42.03,医药生物
605507,117.35,医药生物
688013,21.42,医药生物
688016,109.16,医药生物
688026,23.48,医药生物
688029,136.85,医药生物
688046,91.88,医药生物
688050,72.25,医药生物
688062,56.6,医药生物
688067,14.12,医药生物
688068,73.82,医药生物
688073,44.44,医药生物
688075,38.49,医药生物
688076,84.42,医药生物
688085,42.04,医药生物
688091,84.38,医药生物
688105,82.2,医药生物
688108,80.79,医药生物
688114,209.77,医药生物
688117,54.82,医药生物
688131,194.47,医药生物
688136,41.58,医药生物
688137,24.63,医药生物
688139,79.88,医药生物
688151,52.54,医药生物
688161,84.72,医药生物
688163,47.83,医药生物
688166,158.93,医药生物
688176,42.19,医药生物
688177,69.48,医药生物
688180,240.11,医药生物
688185,57.18,医药生物
688189,16.66,医药生物
688192,180.1,医药生物
688193,21.83,医药生物
688197,20.74,医药生物
688198,114.12,医药生物
688202,96.05,医药生物
688212,39.87,医药生物
688217,11.51,医药生物
688221,78.14,医药生物
688222,126.65,医药生物
688235,279.25,医药生物
688236,41.71,医药生物
688238,34.37,医药生物
688247,34.18,医药生物
688253,83.29,医药生物
688265,25.24,医药生物
688266,284.56,医药生物
688273,38.2,医药生物
688276,58.49,医药生物
688277,77.88,医药生物
688278,220.99,医药生物
688289,80.36,医药生物
688293,45.22,医药生物
688298,36.79,医药生物
688302,34.54,医药生物
688314,29.42,医药生物
688315,52.11,医药生物
688317,30.13,医药生物
688319,157.1,医药生物
688321,102.89,医药生物
688331,194.88,医药生物
688338,28.69,医药生物
688351,104.94,医药生物
688356,44.97,医药生物
688358,36.06,医药生物
688366,57.58,医药生物
688373,26.47,医药生物
688382,99.86,医药生物
688389,42.63,医药生物
688393,17.07,医药生物
688399,38.04,医药生物
688410,45.0,医药生物
688426,20.31,医药生物
688428,69.45,医药生物
688443,31.79,医药生物
