字段代码,字段(大写),中文名,参数
mike,MIKE,MIKE麦克指标,TD、N、IO、ADJ、C
modidura_cnbd,MODIDURA_CNBD,加权平均结算价修正久期,TRADEDATE、CRED
mrg_bal_int_avg,MRG_BAL_INT_AVG,区间融资融券余额均值,SDATE、EDATE、UnitVal
mrg_long_amt_int,MRG_LONG_AMT_INT,区间融资买入额,SDATE、EDATE、UnitVal
mrg_long_bal_int_avg,MRG_LONG_BAL_INT_AVG,区间融资余额均值,SDATE、EDATE、UnitVal
mrg_long_repay_int,MRG_LONG_REPAY_INT,区间融资偿还额,SDATE、EDATE、UnitVal
mrg_short_bal_int_avg,MRG_SHORT_BAL_INT_AVG,区间融券余额均值,SDATE、EDATE、UnitVal
mrg_short_vol_bal_int_avg,MRG_SHORT_VOL_BAL_INT_AVG,区间融券余量均值,SDATE、EDATE、UnitVal
mrg_short_vol_int,MRG_SHORT_VOL_INT,区间融券卖出量,SDATE、EDATE、UnitVal
mrg_short_vol_repay_int,MRG_SHORT_VOL_REPAY_INT,区间融券偿还量,SDATE、EDATE、UnitVal
mtm,MTM,MTM动力指标,TD、N、N1、IO、ADJ、C
obv,OBV,OBV能量潮,TD、IO、ADJ、C
paymentdate,PAYMENTDATE,年付息日,N
pb_mrq,PB_MRQ,市净率PB(MRQ),TRADEDATE
pb_o,PB_O,市净率(PB),DEALDATE、TYPE
pcf_ncf_o,PCF_NCF_O,"市现率(PCF,现金净流量)",DEALDATE、TYPE
pcf_ocf_o,PCF_OCF_O,"市现率(PCF,经营现金流)",DEALDATE、TYPE
pe_o,PE_O,市盈率(PE),DEALDATE、TYPE
prdstrong,PRDSTRONG,阶段强势指标,TD、N、IO、ADJ、C
prdweak,PRDWEAK,阶段弱势指标,TD、N、IO、ADJ、C
prewindcode,PREWINDCODE,Wind自定义代码,
priceosc,PRICEOSC,PRICEOSC价格振荡指标,TD、L、S、ADJ、C
prt_stockvalue_industrytostock,PRT_STOCKVALUE_INDUSTRYTOSTOCK,分行业市值占股票投资市值比,REPORTDATE、TYPE
ps_o,PS_O,市销率(PS),DEALDATE、TYPE
psy,PSY,PSY心理指标,TD、N1、N2、IO、ADJ、C
pvt,PVT,PVT量价趋势指标,TD、ADJ、C
pwmi,PWMI,大盘同步指标,TD、N、IO、ADJ、C
qfa_fcftocf,QFA_FCFTOCF,单季度.筹资活动产生的现金流量净额占比,REPORTDATE、UnitVal
qfa_icftocf,QFA_ICFTOCF,单季度.投资活动产生的现金流量净额占比,REPORTDATE、UnitVal
qfa_impairtoop,QFA_IMPAIRTOOP,单季度.资产减值损失/营业利润,REPORTDATE
qfa_nptocostexpense,QFA_NPTOCOSTEXPENSE,单季度.成本费用利润率,REPORTDATE
qfa_ocftocf,QFA_OCFTOCF,单季度.经营活动产生的现金流量净额占比,REPORTDATE、UnitVal
qfa_optoebt,QFA_OPTOEBT,单季度.主营业务比率,REPORTDATE
rccd,RCCD,RCCD异同离差变化率指数,TD、N、N1、N2、IO、ADJ、C
risk_avgreturn,RISK_AVGRETURN,平均收益率,StartDate、EndDate、Period、TYPE
risk_beta,RISK_BETA,波Beta,StartDate、EndDate、Period、TYPE、INDEX
risk_stdev,RISK_STDEV,波动率,StartDate、EndDate、Period、TYPE
roc,ROC,ROC变动速率,TD、ID、N、IO、ADJ、C
rsi,RSI,RSI相对强弱指标,TD、N、ADJ、C
s_anal_basis,S_ANAL_BASIS,基差(商品期货),TRADEDATE
s_anal_basisannualyield,S_ANAL_BASISANNUALYIELD,基差年化收益率(商品期货),TRADEDATE
s_anal_basispercent,S_ANAL_BASISPERCENT,基差率(商品期货),TRADEDATE
s_anal_volatilityratio,S_ANAL_VOLATILITYRATIO,历史波动率,TRADEDATE、CalculationTime、AnnualizedCoefficient、AdjustType
s_cac_illegalityamount,S_CAC_ILLEGALITYAMOUNT,区间违规处罚金额,StartDate、DATE、UnitVal
s_cac_illegalitynum,S_CAC_ILLEGALITYNUM,区间违规处罚次数,StartDate、DATE
s_cac_lawsuitamount,S_CAC_LAWSUITAMOUNT,区间诉讼涉案金额,StartDate、DATE、UnitVal
s_cac_lawsuitnum,S_CAC_LAWSUITNUM,区间诉讼次数,StartDate、DATE
s_cac_repoamt,S_CAC_REPOAMT,区间回购金额,StartDate、DATE、CURTYPE、UnitVal
s_cac_reposhares,S_CAC_REPOSHARES,区间回购数量,StartDate、DATE、UnitVal
s_cb_carrydate,S_CB_CARRYDATE,转债起息日期,
s_cb_code,S_CB_CODE,转债代码,
s_cb_code2,S_CB_CODE2,交债代码,
s_cb_creditrating,S_CB_CREDITRATING,转债发行信用等级,
s_cb_interest,S_CB_INTEREST,转债利率,TRADEDATE
s_cb_interestfrequency,S_CB_INTERESTFREQUENCY,转债年付息次数,
s_cb_interesttype,S_CB_INTERESTTYPE,转债利率类型,
s_cb_issueamount,S_CB_ISSUEAMOUNT,转债发行总额,UnitVal
s_cb_issueprice,S_CB_ISSUEPRICE,转债发行价格,
s_cb_list_annocedate,S_CB_LIST_ANNOCEDATE,转债发行结果公告日,
s_cb_list_announcedate,S_CB_LIST_ANNOUNCEDATE,转债发行公告日期,
s_cb_list_dateinstoff,S_CB_LIST_DATEINSTOFF,转债网下向机构投资者发行日期,
s_cb_list_dtonl,S_CB_LIST_DTONL,转债网上发行日期,
s_cb_list_permitdate,S_CB_LIST_PERMITDATE,转债发审委审批通过日期,
s_cb_list_rationchkindate,S_CB_LIST_RATIONCHKINDATE,转债老股东配售股权登记日,
s_cb_list_rationdate,S_CB_LIST_RATIONDATE,转债老股东配售日期,
s_cb_list_rationpaymtdate,S_CB_LIST_RATIONPAYMTDATE,转债老股东配售缴款日,
s_cb_maturitydate,S_CB_MATURITYDATE,转债到期日期,
s_cb_name,S_CB_NAME,转债简称,
s_cb_par,S_CB_PAR,转债面值,
s_cb_tblist_permitdate,S_CB_TBLIST_PERMITDATE,待发行可转债发审委审批通过日期,
s_cb_term,S_CB_TERM,转债发行期限,
s_collection_total,S_COLLECTION_TOTAL,募资总额,UnitVal
s_collection_unused,S_COLLECTION_UNUSED,募资未投入资金总额,UnitVal
s_contract_issuedate,S_CONTRACT_ISSUEDATE,标准合约上市日,
s_credit_formerline,S_CREDIT_FORMERLINE,历史授信额度,TRADEDATE
s_credit_line,S_CREDIT_LINE,最新授信额度,
s_credit_linedate,S_CREDIT_LINEDATE,最新授信日期,
s_credit_lineunused,S_CREDIT_LINEUNUSED,最新未使用授信额度,
s_credit_lineused,S_CREDIT_LINEUSED,最新已使用授信额度,
s_credit_lineused2,S_CREDIT_LINEUSED2,历史已使用授信额度,TRADEDATE
s_div_adjcash,S_DIV_ADJCASH,除权每股现金分红,StartDate、DATE
s_div_adjfactor,S_DIV_ADJFACTOR,阶段拆细系数,StartDate、DATE
s_div_aualaccmdiv2,S_DIV_AUALACCMDIV2,区间现金分红总额,StartDate、DATE、CURTYPE、UnitVal
s_div_aualaccmdiv_ard,S_DIV_AUALACCMDIV_ARD,年度累计分红总额(已宣告),Year、UnitVal
s_div_aualaccmdiv_ex,S_DIV_AUALACCMDIV_EX,"年度累计分红总额(已宣告,剔除特别派息)",Year、CURTYPE、UnitVal
s_div_aualaccmdivcpy,S_DIV_AUALACCMDIVCPY,公司区间现金分红总额,StartDate、DATE、CURTYPE、UnitVal
s_div_aualcashdividend,S_DIV_AUALCASHDIVIDEND,年度现金分红总额,Year、UnitVal
s_div_capitalization2,S_DIV_CAPITALIZATION2,每股转增股本(已宣告),REPORTDATE
s_div_cashaftertax2,S_DIV_CASHAFTERTAX2,每股股利(税后)(已宣告),REPORTDATE、CURTYPE
s_div_cashbeforetax2,S_DIV_CASHBEFORETAX2,每股股利(税前)(已宣告),REPORTDATE、CURTYPE
s_div_cashdivbb,S_DIV_CASHDIVBB,"年度累计分红总额(已宣告,含回购)",Year、UnitVal
s_div_cashpaidbeforetax1,S_DIV_CASHPAIDBEFORETAX1,区间每股股利(税前),StartDate、DATE、TYPE、OptionParameters
s_div_dividendratio,S_DIV_DIVIDENDRATIO,现金分红比例,Year
s_div_divpct_3yaccubb,S_DIV_DIVPCT_3YACCUBB,三年累计分红占比(含回购),Year
s_div_divpct_accu,S_DIV_DIVPCT_ACCU,上市以来分红率,REPORTDATE
s_div_fstdiscdate,S_DIV_FSTDISCDATE,现金分红首次披露日,REPORTDATE
s_div_payoutratio,S_DIV_PAYOUTRATIO,年度现金分红比例,Year
s_div_payoutratio_ex,S_DIV_PAYOUTRATIO_EX,"年度现金分红比例(已宣告,剔除特别派息)",Year
s_div_predisclosuredate,S_DIV_PREDISCLOSUREDATE,预披露公告日,REPORTDATE
s_div_shares,S_DIV_SHARES,分红基准股本,REPORTDATE、UnitVal
s_div_stock2,S_DIV_STOCK2,每股红股(已宣告),REPORTDATE
s_dq_adjfactor2,S_DQ_ADJFACTOR2,复权因子,DATE
s_dq_amount_aht,S_DQ_AMOUNT_AHT,盘后成交额,TRADEDATE、UnitVal
s_dq_amount_btin,S_DQ_AMOUNT_BTIN,成交额(含大宗交易),TRADEDATE、UnitVal
s_dq_amount_fixedincome,S_DQ_AMOUNT_FIXEDINCOME,上证固收平台成交金额,TRADEDATE、PriceType、UnitVal
s_dq_amtturnover,S_DQ_AMTTURNOVER,换手率(基准.流通市值),TRADEDATE、UnitVal
s_dq_avgprice_fixedincome,S_DQ_AVGPRICE_FIXEDINCOME,上证固收平台平均价,TRADEDATE、PriceType
s_dq_callamount,S_DQ_CALLAMOUNT,认购成交额,TRADEDATE、UnitVal
s_dq_calloi,S_DQ_CALLOI,认购持仓量,TRADEDATE、UnitVal
s_dq_callvolume,S_DQ_CALLVOLUME,认购成交量,TRADEDATE、UnitVal
s_dq_change_settlement,S_DQ_CHANGE_SETTLEMENT,涨跌（结算价）,DEALDATE、UnitVal
s_dq_close2,S_DQ_CLOSE2,定点复权,TRADEDATE、TYPE、ADJDATE
s_dq_close_fixedincome,S_DQ_CLOSE_FIXEDINCOME,上证固收平台收盘价,TRADEDATE、PriceType
s_dq_close_lastradeday,S_DQ_CLOSE_LASTRADEDAY,最近交易日期,DEALDATE
s_dq_close_night,S_DQ_CLOSE_NIGHT,收盘价(夜盘),TRADEDATE
s_dq_close_usd,S_DQ_CLOSE_USD,收盘价(美元),TRADEDATE
s_dq_dealnum,S_DQ_DEALNUM,成交笔数,DATE
s_dq_dealnum_fixedincome,S_DQ_DEALNUM_FIXEDINCOME,上证固收平台成交笔数,TRADEDATE
s_dq_direction,S_DQ_DIRECTION,交收方向(黄金现货),TRADEDATE
s_dq_freeturnover_n,S_DQ_FREETURNOVER_N,换手率(基准.自由流通股本),TRADEDATE、UnitVal
s_dq_lastradeday_ssefi,S_DQ_LASTRADEDAY_SSEFI,上证固收平台最近交易日,TRADEDATE
s_dq_maxdown,S_DQ_MAXDOWN,跌停价,TRADEDATE
s_dq_maxup,S_DQ_MAXUP,涨停价,TRADEDATE
s_dq_maxupordown,S_DQ_MAXUPORDOWN,涨跌停状态,TRADEDATE
s_dq_oi,S_DQ_OI,持仓量,DEALDATE、UnitVal
s_dq_oiamount,S_DQ_OIAMOUNT,持仓额,TRADEDATE、UnitVal
s_dq_oiamount_nomargin,S_DQ_OIAMOUNT_NOMARGIN,持仓额(不计保证金),TRADEDATE、UnitVal
s_dq_oichange,S_DQ_OICHANGE,持仓量变化,DEALDATE、UnitVal
s_dq_optionamount,S_DQ_OPTIONAMOUNT,品种成交额,TRADEDATE、UnitVal
s_dq_optionoi,S_DQ_OPTIONOI,品种持仓量,TRADEDATE、UnitVal
s_dq_optionvolume,S_DQ_OPTIONVOLUME,品种成交量,TRADEDATE、UnitVal
s_dq_pctchange_close,S_DQ_PCTCHANGE_CLOSE,涨跌幅(收盘价),TRADEDATE
s_dq_pctchange_settlement,S_DQ_PCTCHANGE_SETTLEMENT,涨跌幅（结算价）,DEALDATE
s_dq_preclose_exch,S_DQ_PRECLOSE_EXCH,交易所前收盘价,TRADEDATE
s_dq_premiumrate_ah,S_DQ_PREMIUMRATE_AH,AH股溢价率,TRADEDATE
s_dq_presettle,S_DQ_PRESETTLE,前结算价,DEALDATE、UnitVal
s_dq_putamount,S_DQ_PUTAMOUNT,认沽成交额,TRADEDATE、UnitVal
s_dq_putoi,S_DQ_PUTOI,认沽持仓量,TRADEDATE、UnitVal
s_dq_putvolume,S_DQ_PUTVOLUME,认沽成交量,TRADEDATE、UnitVal
s_dq_rps,S_DQ_RPS,相对强度指标,TRADEDATE、N
s_dq_settle,S_DQ_SETTLE,结算价,DEALDATE
s_dq_suspenddays,S_DQ_SUSPENDDAYS,连续停牌天数,TRADEDATE
s_dq_volume_aht,S_DQ_VOLUME_AHT,盘后成交量,TRADEDATE、UnitVal
s_dq_volume_btin,S_DQ_VOLUME_BTIN,成交量(含大宗交易),TRADEDATE、UnitVal
s_dq_volume_fixedincome,S_DQ_VOLUME_FIXEDINCOME,上证固收平台成交量,TRADEDATE、UnitVal
s_employee_admin,S_EMPLOYEE_ADMIN,综合管理人员人数,TRADEDATE
s_employee_admin_pct,S_EMPLOYEE_ADMIN_PCT,综合管理人员人数占比,TRADEDATE
s_employee_ba,S_EMPLOYEE_BA,本科人数,TRADEDATE
s_employee_ba_pct,S_EMPLOYEE_BA_PCT,本科人数占比,TRADEDATE
s_employee_board,S_EMPLOYEE_BOARD,董事会人数,TRADEDATE
s_employee_coll,S_EMPLOYEE_COLL,专科人数,TRADEDATE
s_employee_coll_pct,S_EMPLOYEE_COLL_PCT,专科人数占比,TRADEDATE
s_employee_excu,S_EMPLOYEE_EXCU,行政人员人数,TRADEDATE
s_employee_excu_pct,S_EMPLOYEE_EXCU_PCT,行政人员人数占比,TRADEDATE
s_employee_executivedirector,S_EMPLOYEE_EXECUTIVEDIRECTOR,执行董事人数,TRADEDATE
s_employee_fin,S_EMPLOYEE_FIN,财务人员人数,TRADEDATE
s_employee_fin_pct,S_EMPLOYEE_FIN_PCT,财务人员人数占比,TRADEDATE
s_employee_highschool,S_EMPLOYEE_HIGHSCHOOL,高中及以下人数,TRADEDATE
s_employee_highschool_pct,S_EMPLOYEE_HIGHSCHOOL_PCT,高中及以下人数占比,TRADEDATE
s_employee_hr,S_EMPLOYEE_HR,人事人员人数,TRADEDATE
s_employee_hr_pct,S_EMPLOYEE_HR_PCT,人事人员人数占比,TRADEDATE
s_employee_indpdirector,S_EMPLOYEE_INDPDIRECTOR,独立董事人数,TRADEDATE
s_employee_mgmt,S_EMPLOYEE_MGMT,高管人数,TRADEDATE
s_employee_ms,S_EMPLOYEE_MS,硕士人数,TRADEDATE
s_employee_ms_pct,S_EMPLOYEE_MS_PCT,硕士人数占比,TRADEDATE
s_employee_othdegree,S_EMPLOYEE_OTHDEGREE,其他学历人数,TRADEDATE
s_employee_othdegree_pct,S_EMPLOYEE_OTHDEGREE_PCT,其他学历人数占比,TRADEDATE
s_employee_othdept,S_EMPLOYEE_OTHDEPT,其他人员人数,TRADEDATE
s_employee_othdept_pct,S_EMPLOYEE_OTHDEPT_PCT,其他专业人员人数占比,TRADEDATE
s_employee_phd,S_EMPLOYEE_PHD,博士人数,TRADEDATE
s_employee_phd_pct,S_EMPLOYEE_PHD_PCT,博士人数占比,TRADEDATE
s_employee_producer,S_EMPLOYEE_PRODUCER,生产人员人数,TRADEDATE
s_employee_producer_pct,S_EMPLOYEE_PRODUCER_PCT,生产人员人数占比,TRADEDATE
s_employee_pur,S_EMPLOYEE_PUR,采购仓储人员人数,TRADEDATE
s_employee_pur_pct,S_EMPLOYEE_PUR_PCT,采购仓储人员人数占比,TRADEDATE
s_employee_rc,S_EMPLOYEE_RC,风控稽核人员人数,TRADEDATE
s_employee_rc_pct,S_EMPLOYEE_RC_PCT,风控稽核人员人数占比,TRADEDATE
s_employee_sale,S_EMPLOYEE_SALE,销售人员人数,TRADEDATE
s_employee_sale_pct,S_EMPLOYEE_SALE_PCT,销售人员人数占比,TRADEDATE
s_employee_server,S_EMPLOYEE_SERVER,客服人员人数,TRADEDATE
s_employee_server_pct,S_EMPLOYEE_SERVER_PCT,客服人员人数占比,TRADEDATE
s_employee_tech,S_EMPLOYEE_TECH,技术人员人数,TRADEDATE
s_employee_tech_pct,S_EMPLOYEE_TECH_PCT,技术人员人数占比,TRADEDATE
s_employee_techcore,S_EMPLOYEE_TECHCORE,核心技术人员人数,TRADEDATE
s_employee_totalmgmt,S_EMPLOYEE_TOTALMGMT,管理层人数,TRADEDATE
s_err_wi,S_ERR_WI,盈利修正比例(可选类型),Year、DATE、TYPE
s_esg_cr_wind,S_ESG_CR_WIND,确定性等级,REPORTDATE
s_esg_eem01001,S_ESG_EEM01001,SCOPE 1 温室气体排放,REPORTDATE
s_esg_eem01002,S_ESG_EEM01002,SCOPE 2 温室气体排放,REPORTDATE
s_esg_eem01004,S_ESG_EEM01004,总温室气体排放,REPORTDATE
s_esg_eem01008,S_ESG_EEM01008,温室气体减排量,REPORTDATE
s_esg_eem01011,S_ESG_EEM01011,是否就气候变化机会进行讨论,REPORTDATE
s_esg_eem01012,S_ESG_EEM01012,是否就气候变化风险进行讨论,REPORTDATE
s_esg_eem02001,S_ESG_EEM02001,氮氧化物排放,REPORTDATE
s_esg_eem02002,S_ESG_EEM02002,二氧化硫排放,REPORTDATE
s_esg_eem02003,S_ESG_EEM02003,悬浮粒子/颗粒物,REPORTDATE
s_esg_eem03001,S_ESG_EEM03001,有害废弃物量,REPORTDATE
s_esg_eem03002,S_ESG_EEM03002,无害废弃物量,REPORTDATE
s_esg_eem03003,S_ESG_EEM03003,废弃物总量,REPORTDATE
s_esg_eem03004,S_ESG_EEM03004,废弃物回收量,REPORTDATE
s_esg_em_wind,S_ESG_EM_WIND,计算方法,REPORTDATE
s_esg_eot01003,S_ESG_EOT01003,是否重点排污单位,REPORTDATE
s_esg_eot02002,S_ESG_EOT02002,环保超标或其他违规次数,REPORTDATE
s_esg_ere01001,S_ESG_ERE01001,总能源消耗,REPORTDATE
s_esg_ere01002,S_ESG_ERE01002,耗电总量,REPORTDATE
s_esg_ere01003,S_ESG_ERE01003,节省用电量,REPORTDATE
s_esg_ere01004,S_ESG_ERE01004,煤碳使用量,REPORTDATE
s_esg_ere01005,S_ESG_ERE01005,天然气消耗,REPORTDATE
s_esg_ere01006,S_ESG_ERE01006,燃油消耗,REPORTDATE
s_esg_ere01007,S_ESG_ERE01007,节能量,REPORTDATE
s_esg_ere02001,S_ESG_ERE02001,纸消耗量,REPORTDATE
s_esg_ere02002,S_ESG_ERE02002,废纸回收量,REPORTDATE
s_esg_escore_wind,S_ESG_ESCORE_WIND,环境维度得分,TRADEDATE
s_esg_eventscore_wind,S_ESG_EVENTSCORE_WIND,ESG争议事件得分,TRADEDATE
s_esg_ewa01001,S_ESG_EWA01001,总用水量,REPORTDATE
s_esg_ewa01002,S_ESG_EWA01002,节省水量,REPORTDATE
s_esg_ewa01003,S_ESG_EWA01003,水循环与再利用的总量,REPORTDATE
s_esg_ewa01004,S_ESG_EWA01004,废水综合利用率,REPORTDATE
s_esg_ewa02002,S_ESG_EWA02002,废水/污水排放量,REPORTDATE
s_esg_ewa02003,S_ESG_EWA02003,废水处理量,REPORTDATE
s_esg_ewa02004,S_ESG_EWA02004,氨氮,REPORTDATE
s_esg_ewa02005,S_ESG_EWA02005,化学需氧量(COD),REPORTDATE
s_esg_gad01001,S_ESG_GAD01001,审计委员会会议次数,REPORTDATE
s_esg_gad01002,S_ESG_GAD01002,审计委员会会议出席率,REPORTDATE
s_esg_gad02002,S_ESG_GAD02002,是否出具标准无保留意见,REPORTDATE
s_esg_gbo01001,S_ESG_GBO01001,董事会规模,REPORTDATE
s_esg_gbo01002,S_ESG_GBO01002,董事会出席率,REPORTDATE
s_esg_gbo01003,S_ESG_GBO01003,董事会召开数,REPORTDATE
s_esg_gbo01004,S_ESG_GBO01004,参加少于75%会议的董事人数,REPORTDATE
s_esg_gbo01005,S_ESG_GBO01005,监事会召开数,REPORTDATE
s_esg_gbo01006,S_ESG_GBO01006,监事出席率,REPORTDATE
s_esg_gbo01007,S_ESG_GBO01007,是否设有监事委员会主席,REPORTDATE
s_esg_gbo01008,S_ESG_GBO01008,提名委员会会议数,REPORTDATE
s_esg_gbo01010,S_ESG_GBO01010,提名委员会会议出席率,REPORTDATE
s_esg_gbo01014,S_ESG_GBO01014,董事会成员受教育背景高于本科的比例,REPORTDATE
s_esg_gbo01015,S_ESG_GBO01015,女性董事占比,REPORTDATE
s_esg_gbo03001,S_ESG_GBO03001,独立董事董事会会议出席率,REPORTDATE
s_esg_gbo03002,S_ESG_GBO03002,独立董事占董事会总人数的比例,REPORTDATE
s_esg_gcb_wind,S_ESG_GCB_WIND,绿色信贷余额,Year、UnitVal
s_esg_gcbtd_wind,S_ESG_GCBTD_WIND,绿色信贷余额,REPORTDATE、UnitVal
s_esg_ghg12_wind,S_ESG_GHG12_WIND,温室气体排放总量(范围1和范围2),REPORTDATE
s_esg_ghg1_wind,S_ESG_GHG1_WIND,直接(范围1)温室气体排放,REPORTDATE
s_esg_ghg2_wind,S_ESG_GHG2_WIND,能源间接(范围2)温室气体排放,REPORTDATE
s_esg_ghgr12_wind,S_ESG_GHGR12_WIND,每百万元营收温室气体排放量(范围1和范围2),REPORTDATE
s_esg_ghgr1_wind,S_ESG_GHGR1_WIND,每百万元营收直接(范围1)温室气体排放,REPORTDATE
s_esg_ghgr2_wind,S_ESG_GHGR2_WIND,每百万元营收间接温室气体排放(范围2),REPORTDATE
s_esg_gpa02001,S_ESG_GPA02001,是否有股权激励计划,REPORTDATE
s_esg_gpa03002,S_ESG_GPA03002,薪酬委员会会议出席率,REPORTDATE
s_esg_gpa03003,S_ESG_GPA03003,薪酬委员会会议数,REPORTDATE
s_esg_gscore_wind,S_ESG_GSCORE_WIND,治理维度得分,TRADEDATE
s_esg_mdc01002,S_ESG_MDC01002,公司是否有独立的公司社会责任报告,REPORTDATE
s_esg_mdc01003,S_ESG_MDC01003,第三方审查机构,REPORTDATE
s_esg_mdc01004,S_ESG_MDC01004,报告范围,REPORTDATE
s_esg_mdc01005,S_ESG_MDC01005,编制依据,REPORTDATE
s_esg_mdc01006,S_ESG_MDC01006,是否遵循/对照GRI标准,REPORTDATE
s_esg_mdc01007,S_ESG_MDC01007,是否遵循/对照联交所标准,REPORTDATE
s_esg_mgmtscore_wind,S_ESG_MGMTSCORE_WIND,ESG管理实践得分,TRADEDATE
s_esg_rating,S_ESG_RATING,ESG评级,TRADEDATE
s_esg_rating_casvi,S_ESG_RATING_CASVI,社会价值投资联盟ESG评级,TRADEDATE
s_esg_rating_ftserussell,S_ESG_RATING_FTSERUSSELL,富时罗素ESG评分,TRADEDATE
s_esg_rating_ssi,S_ESG_RATING_SSI,华证ESG评级,TRADEDATE
s_esg_rating_wind,S_ESG_RATING_WIND,Wind ESG评级,TRADEDATE
s_esg_rpt_wind,S_ESG_RPT_WIND,ESG独立报告名称,REPORTDATE
s_esg_sch01001,S_ESG_SCH01001,供应商数量,REPORTDATE
s_esg_sch01002,S_ESG_SCH01002,供应商本地化比例,REPORTDATE
s_esg_sch02001,S_ESG_SCH02001,本地化采购支出占比,REPORTDATE
s_esg_sch02002,S_ESG_SCH02002,接受ESG评估的供应商数量,REPORTDATE
s_esg_sco02001,S_ESG_SCO02001,志愿服务时长,REPORTDATE
s_esg_sco02002,S_ESG_SCO02002,注册志愿者人数,REPORTDATE
s_esg_score_wind,S_ESG_SCORE_WIND,Wind ESG综合得分,TRADEDATE
s_esg_sem01001,S_ESG_SEM01001,雇员总人数,REPORTDATE
s_esg_sem01002,S_ESG_SEM01002,员工流失率/离职率,REPORTDATE
s_esg_sem01003,S_ESG_SEM01003,兼职人员比例,REPORTDATE
s_esg_sem01004,S_ESG_SEM01004,劳动合同签订率,REPORTDATE
s_esg_sem01005,S_ESG_SEM01005,女性员工比例,REPORTDATE
s_esg_sem01006,S_ESG_SEM01006,少数裔员工比例,REPORTDATE
s_esg_sem02002,S_ESG_SEM02002,人均培训课时,REPORTDATE
s_esg_sem03001,S_ESG_SEM03001,工伤率,REPORTDATE
s_esg_sem03002,S_ESG_SEM03002,因工伤损失工作日数,REPORTDATE
s_esg_sem03003,S_ESG_SEM03003,职业病发生率,REPORTDATE
s_esg_sem03004,S_ESG_SEM03004,死亡事故数,REPORTDATE
s_esg_sem04001,S_ESG_SEM04001,医保覆盖率,REPORTDATE
s_esg_spc01001,S_ESG_SPC01001,客户投诉数量,REPORTDATE
s_esg_spc01002,S_ESG_SPC01002,客户满意度,REPORTDATE
s_esg_spc01003,S_ESG_SPC01003,是否有客户反馈系统,REPORTDATE
s_esg_spc02004,S_ESG_SPC02004,新增专利数,REPORTDATE
s_esg_sscore_wind,S_ESG_SSCORE_WIND,社会维度得分,TRADEDATE
s_est_avgbps1,S_EST_AVGBPS1,预测每股净资产(BPS)平均值,Year、DATE、CURTYPE、UnitVal
s_est_avgcps1,S_EST_AVGCPS1,预测每股现金流(CPS)平均值,Year、DATE、CURTYPE、UnitVal
s_est_avgdps1,S_EST_AVGDPS1,预测每股股利(DPS)平均值,Year、DATE、CURTYPE、UnitVal
s_est_avgebit1,S_EST_AVGEBIT1,预测息税前利润(EBIT)平均值,Year、DATE、CURTYPE、UnitVal
s_est_avgebitda1,S_EST_AVGEBITDA1,预测息税折旧摊销前利润(EBITDA)平均值,Year、DATE、CURTYPE、UnitVal
s_est_avgebt1,S_EST_AVGEBT1,预测利润总额平均值,Year、DATE、CURTYPE、UnitVal
s_est_avgoperatingprofit1,S_EST_AVGOPERATINGPROFIT1,预测营业利润平均值,Year、DATE、CURTYPE、UnitVal
s_est_ebitda,S_EST_EBITDA,机构预测EBITDA,Year、DATE、TYPE、UnitVal
s_est_eps1,S_EST_EPS1,预测每股收益平均值,Year、DATE、CURTYPE
s_est_eps_inst1,S_EST_EPS_INST1,机构预测每股收益,Year、DATE、TYPE、CURTYPE
s_est_event_date,S_EST_EVENT_DATE,大事日期(大事后预测),DATE
s_est_evtoebitda,S_EST_EVTOEBITDA,机构预测EV/EBITDA,Year、DATE、TYPE、UnitVal
s_est_highprice_inst1,S_EST_HIGHPRICE_INST1,本次最高目标价,EndDate、TYPE、CURTYPE、UnitVal
s_est_lowprice_inst1,S_EST_LOWPRICE_INST1,本次最低目标价,EndDate、TYPE、CURTYPE、UnitVal
s_est_maxbps1,S_EST_MAXBPS1,预测每股净资产(BPS)最大值,Year、DATE、CURTYPE、UnitVal
s_est_maxcps1,S_EST_MAXCPS1,预测每股现金流(CPS)最大值,Year、DATE、CURTYPE、UnitVal
s_est_maxdps1,S_EST_MAXDPS1,预测每股股利(DPS)最大值,Year、DATE、CURTYPE、UnitVal
s_est_maxebit1,S_EST_MAXEBIT1,预测息税前利润(EBIT)最大值,Year、DATE、CURTYPE、UnitVal
s_est_maxebitda1,S_EST_MAXEBITDA1,预测息税折旧摊销前利润(EBITDA)最大值,Year、DATE、CURTYPE、UnitVal
s_est_maxebt1,S_EST_MAXEBT1,预测利润总额最大值,Year、DATE、CURTYPE、UnitVal
s_est_maxeps1,S_EST_MAXEPS1,预测每股收益最大值,Year、DATE、CURTYPE
s_est_maxnetprofit1,S_EST_MAXNETPROFIT1,预测净利润最大值,Year、DATE、CURTYPE、UnitVal
s_est_maxoperatingprofit1,S_EST_MAXOPERATINGPROFIT1,预测营业利润最大值,Year、DATE、CURTYPE、UnitVal
s_est_maxsales1,S_EST_MAXSALES1,预测营业收入最大值,Year、DATE、CURTYPE、UnitVal
s_est_medianbps1,S_EST_MEDIANBPS1,预测每股净资产(BPS)中值,Year、DATE、CURTYPE、UnitVal
s_est_mediancps1,S_EST_MEDIANCPS1,预测每股现金流(CPS)中值,Year、DATE、CURTYPE、UnitVal
